email,password,firstName,lastName,middleName,phoneNum,role,desiredResult,reasonForError
tbogart@students.stonehill.edu,password,,Bogart,Milktoast,1234567890,RegularUser,false,Please enter a valid First Name
tbogart@students.stonehill.edu,password,,Bogart,Milktoast,1234567890,RegularUser,false,Please enter a valid First Name
tbogart@students.stonehill.edu,password,,Bogart,,,,false,Please enter a valid First Name
tbogart@students.stonehill.edu,password,,Bogart,,1234567890,,false,Please enter a valid First Name
tbogart@students.stonehill.edu,password,,Bogart,,1234567890,RegularUser,false,Please enter a valid First Name
tbogart@students.stonehill.edu,password,,Bogart,,1234567890,RegularUser,false,Please enter a valid First Name
tbogart@students.stonehill.edu,password,T3rry,,,,,false,Please enter a valid First Name
tbogart@students.stonehill.edu,password,T3rry,Bogart,,,,false,Please enter a valid First Name
tbogart@students.stonehill.edu,password,T3rry,Bogart,Milktoast,,,false,Please enter a valid First Name
tbogart@students.stonehill.edu,password,T3rry,Bogart,Milktoast,1234567890,,false,Please enter a valid First Name
tbogart@students.stonehill.edu,password,T3rry,Bogart,Milktoast,1234567890,RegularUser,false,Please enter a valid First Name
tbogart@students.stonehill.edu,password,T3rry,Bogart,Milktoast,1234567890,RegularUser,false,Please enter a valid First Name
tbogart@students.stonehill.edu,password,T3rry,Bogart,,,,false,Please enter a valid First Name
tbogart@students.stonehill.edu,password,T3rry,Bogart,,1234567890,,false,Please enter a valid First Name
tbogart@students.stonehill.edu,password,T3rry,Bogart,,1234567890,RegularUser,false,Please enter a valid First Name
tbogart@students.stonehill.edu,password,T3rry,Bogart,,1234567890,RegularUser,false,Please enter a valid First Name
tbogart@students.stonehill.edu,password,Terry!,,,,,false,Please enter a valid First Name
tbogart@students.stonehill.edu,password,Terry!,Bogart,,,,false,Please enter a valid First Name
tbogart@students.stonehill.edu,password,Terry!,Bogart,Milktoast,,,false,Please enter a valid First Name
tbogart@students.stonehill.edu,password,Terry!,Bogart,Milktoast,1234567890,,false,Please enter a valid First Name
tbogart@students.stonehill.edu,password,Terry!,Bogart,Milktoast,1234567890,RegularUser,false,Please enter a valid First Name
tbogart@students.stonehill.edu,password,Terry!,Bogart,Milktoast,1234567890,RegularUser,false,Please enter a valid First Name
tbogart@students.stonehill.edu,password,Terry!,Bogart,,,,false,Please enter a valid First Name
tbogart@students.stonehill.edu,password,Terry!,Bogart,,1234567890,,false,Please enter a valid First Name
tbogart@students.stonehill.edu,password,Terry!,Bogart,,1234567890,RegularUser,false,Please enter a valid First Name
tbogart@students.stonehill.edu,password,Terry!,Bogart,,1234567890,RegularUser,false,Please enter a valid First Name
tbogart@students.stonehill.edu,password,Terry,,,,,false,Please enter a valid Last Name
tbogart@students.stonehill.edu,password,Terry,,Milktoast,,,false,Please enter a valid Last Name
tbogart@students.stonehill.edu,password,Terry,,Milktoast,1234567890,,false,Please enter a valid Last Name
tbogart@students.stonehill.edu,password,Terry,,Milktoast,1234567890,RegularUser,false,Please enter a valid Last Name
tbogart@students.stonehill.edu,password,Terry,,Milktoast,1234567890,RegularUser,false,Please enter a valid Last Name
tbogart@students.stonehill.edu,password,Terry,,,,,false,Please enter a valid Last Name
tbogart@students.stonehill.edu,password,Terry,,,1234567890,,false,Please enter a valid Last Name
tbogart@students.stonehill.edu,password,Terry,,,1234567890,RegularUser,false,Please enter a valid Last Name
tbogart@students.stonehill.edu,password,Terry,,,1234567890,RegularUser,false,Please enter a valid Last Name
tbogart@students.stonehill.edu,password,Terry,B0gart,,,,false,Please enter a valid Last Name
tbogart@students.stonehill.edu,password,Terry,B0gart,Milktoast,,,false,Please enter a valid Last Name
tbogart@students.stonehill.edu,password,Terry,B0gart,Milktoast,1234567890,,false,Please enter a valid Last Name
tbogart@students.stonehill.edu,password,Terry,B0gart,Milktoast,1234567890,RegularUser,false,Please enter a valid Last Name
tbogart@students.stonehill.edu,password,Terry,B0gart,Milktoast,1234567890,RegularUser,false,Please enter a valid Last Name
tbogart@students.stonehill.edu,password,Terry,B0gart,,,,false,Please enter a valid Last Name
tbogart@students.stonehill.edu,password,Terry,B0gart,,1234567890,,false,Please enter a valid Last Name
tbogart@students.stonehill.edu,password,Terry,B0gart,,1234567890,RegularUser,false,Please enter a valid Last Name
tbogart@students.stonehill.edu,password,Terry,B0gart,,1234567890,RegularUser,false,Please enter a valid Last Name
tbogart@students.stonehill.edu,password,Terry,Bogart#,,,,false,Please enter a valid Last Name
tbogart@students.stonehill.edu,password,Terry,Bogart#,Milktoast,,,false,Please enter a valid Last Name
tbogart@students.stonehill.edu,password,Terry,Bogart#,Milktoast,1234567890,,false,Please enter a valid Last Name
tbogart@students.stonehill.edu,password,Terry,Bogart#,Milktoast,1234567890,RegularUser,false,Please enter a valid Last Name
tbogart@students.stonehill.edu,password,Terry,Bogart#,Milktoast,1234567890,RegularUser,false,Please enter a valid Last Name
tbogart@students.stonehill.edu,password,Terry,Bogart#,,,,false,Please enter a valid Last Name
tbogart@students.stonehill.edu,password,Terry,Bogart#,,1234567890,,false,Please enter a valid Last Name
tbogart@students.stonehill.edu,password,Terry,Bogart#,,1234567890,RegularUser,false,Please enter a valid Last Name
tbogart@students.stonehill.edu,password,Terry,Bogart#,,1234567890,RegularUser,false,Please enter a valid Last Name
tbogart@students.stonehill.edu,password,Terry,Bogart,,,,false,Please enter a valid Phone Number
tbogart@students.stonehill.edu,password,Terry,Bogart,Milktoast,,,false,Please enter a valid Phone Number
tbogart@students.stonehill.edu,password,Terry,Bogart,Milkt0ast,,,false,Please enter a valid Middle Name
tbogart@students.stonehill.edu,password,Terry,Bogart,Milkt0ast,1234567890,,false,Please enter a valid Middle Name
tbogart@students.stonehill.edu,password,Terry,Bogart,Milkt0ast,1234567890,RegularUser,false,Please enter a valid Middle Name
tbogart@students.stonehill.edu,password,Terry,Bogart,Milkt0ast,1234567890,RegularUser,false,Please enter a valid Middle Name
tbogart@students.stonehill.edu,password,Terry,Bogart,Milktoast!,,,false,Please enter a valid Middle Name
tbogart@students.stonehill.edu,password,Terry,Bogart,Milktoast!,1234567890,,false,Please enter a valid Middle Name
tbogart@students.stonehill.edu,password,Terry,Bogart,Milktoast!,1234567890,RegularUser,false,Please enter a valid Middle Name
tbogart@students.stonehill.edu,password,Terry,Bogart,Milktoast!,1234567890,RegularUser,false,Please enter a valid Middle Name
tbogart@students.stonehill.edu,password,Terry,Bogart,!,,,false,Please enter a valid Middle Name
tbogart@students.stonehill.edu,password,Terry,Bogart,!,1234567890,,false,Please enter a valid Middle Name
tbogart@students.stonehill.edu,password,Terry,Bogart,!,1234567890,RegularUser,false,Please enter a valid Middle Name
tbogart@students.stonehill.edu,password,Terry,Bogart,!,1234567890,RegularUser,false,Please enter a valid Middle Name
tbogart@students.stonehill.edu,password,Terry,Bogart,2,,,false,Please enter a valid Middle Name
tbogart@students.stonehill.edu,password,Terry,Bogart,2,1234567890,,false,Please enter a valid Middle Name
tbogart@students.stonehill.edu,password,Terry,Bogart,2,1234567890,RegularUser,false,Please enter a valid Middle Name
tbogart@students.stonehill.edu,password,Terry,Bogart,2,1234567890,RegularUser,false,Please enter a valid Middle Name
tbogart@students.stonehill.edu,password,Terry,Bogart,Milktoast,1234567890,,false,Please enter a valid Role
tbogart@students.stonehill.edu,password,Terry,Bogart,Milktoast,12345678901,,false,Please enter a valid Role
tbogart@students.stonehill.edu,password,Terry,Bogart,Milktoast,123456789012,,false,Please enter a valid Role
tbogart@students.stonehill.edu,password,Terry,Bogart,Milktoast,,,false,Please enter a valid Phone Number
tbogart@students.stonehill.edu,password,Terry,Bogart,Milktoast,,RegularUser,false,Please enter a valid Phone Number
tbogart@students.stonehill.edu,password,Terry,Bogart,Milktoast,,RegularUser,false,Please enter a valid Phone Number
tbogart@students.stonehill.edu,password,Terry,Bogart,Milktoast,1,,false,Please enter a valid Phone Number
tbogart@students.stonehill.edu,password,Terry,Bogart,Milktoast,1,RegularUser,false,Please enter a valid Phone Number
tbogart@students.stonehill.edu,password,Terry,Bogart,Milktoast,1,RegularUser,false,Please enter a valid Phone Number
tbogart@students.stonehill.edu,password,Terry,Bogart,Milktoast,123456789,,false,Please enter a valid Phone Number
tbogart@students.stonehill.edu,password,Terry,Bogart,Milktoast,123456789,RegularUser,false,Please enter a valid Phone Number
tbogart@students.stonehill.edu,password,Terry,Bogart,Milktoast,123456789,RegularUser,false,Please enter a valid Phone Number
tbogart@students.stonehill.edu,password,Terry,Bogart,Milktoast,hello,,false,Please enter a valid Phone Number
tbogart@students.stonehill.edu,password,Terry,Bogart,Milktoast,hello,RegularUser,false,Please enter a valid Phone Number
tbogart@students.stonehill.edu,password,Terry,Bogart,Milktoast,hello,RegularUser,false,Please enter a valid Phone Number
tbogart@students.stonehill.edu,password,Terry,Bogart,Milktoast,1234567890,,false,Please enter a valid Role
tbogart@students.stonehill.edu,password,Terry,Bogart,Milktoast,1234567890,hello,false,Please enter a valid Role
tbogart@students.stonehill.edu,password,Terry,Bogart,Milktoast,1234567890,hello,false,Please enter a valid Role
tbogart@students.stonehill.edu,password,Terry,Bogart,Milktoast,1234567890,RegularUser,true,true
tbogart@students.stonehill.edu,password,Terry,Bogart,,1234567890,RegularUser,true,true
